[2]delta_1,[2]delta_2,[2]delta_3,[2]delta_4,[2]theta_1,[2]theta_2,[2]theta_3,[2]theta_4,[2]alpha_1,[2]alpha_2,[2]alpha_3,[2]alpha_4,[2]beta_1,[2]beta_2,[2]beta_3,[2]beta_4,[2]beta_5,[2]beta_6,[2]beta_7,[2]beta_8,[2]beta_9,[2]beta_10,[2]beta_11,[2]beta_12,[2]beta_13,[2]beta_14,[2]beta_15,[2]beta_16,[2]beta_17,[2]beta_18,[2]timestamp
1.6583118509106265,3.3668224086619927,5.115163011653165,4.149979532404837,1.4413467517135639,2.7873383369688853,5.3960213018043035,5.883329213221571,3.854478046488754,1.2956514639511236,7.2272762941383535,5.005772362869723,3.334645708434398,2.7160452907908677,1.9079877359989383,11.672240885147138,41.24183414896674,27.4981661946329,6.484122299448562,5.625115348976041,4.559979113267466,18.28044077544565,14.99837951316683,2.4042846865293623,6.359096770070752,2.467591107941386,0.2839035317578114,8.498749047158304,12.935467602465742,7.047169748859314,740005.3276537029
3.3684953060472242,8.520553043867611,3.4014467973091533,4.3258288842960875,6.081632581477985,3.0430424474929896,4.707310130328257,9.261325455149468,8.22426811144207,8.504576665577344,9.155055092870391,8.0264479913485,7.072025808628336,3.1359945275361243,1.6637478361407958,18.922907054637683,41.19795342786847,22.16182729234749,1.8573982231433195,1.8147197560848691,10.62289306794975,22.899674395858458,14.60275609121214,5.7871140429745385,8.815115249207206,5.385626201855904,4.077509117878534,1.832856017262455,9.740910844053923,4.271294073555903,740006.3307555821
1.7143822064203813,0.8751682386168111,3.789065525880007,3.6942227451563543,1.9033769789014767,2.6239738972796,7.75790165217571,9.107250078336646,3.6157538390959694,1.539309079383822,4.41345781305358,10.307065842562674,5.701159674754025,1.5827917739995092,4.377048770641771,15.546259261862138,41.98798440984307,24.71727283996928,1.9598022837158446,1.8570803824956363,5.544945406935926,21.485836791061132,14.782009530778673,3.5477806474055353,6.7444323144664375,3.8794783457266475,4.537911020921621,8.104563209783356,10.04465260184151,6.3880569549704616,740007.3322092637
1.389655261205501,2.049984846571065,3.4899698098513974,3.4987386654671693,7.604054723525376,4.205703452994477,4.649320443177041,4.101501221235848,2.3365298800993735,3.666492563270525,3.665027368082936,4.220748193779844,2.118493381229154,4.045296522982939,4.943685266368868,12.871032665191782,40.881369336123015,27.834625340342413,5.18462082839139,2.1159762093625427,4.853725316210849,20.67186194342144,13.273910912449736,6.771124508333114,6.883995700418627,5.8843274401652845,2.2062849536395044,5.874716414964761,6.70755731701389,2.170010255317581,740008.3308204728
1.449433613950418,1.6584563405839108,4.315355949924952,6.557941526611151,2.045706395508876,3.542787552370487,5.194216642491219,9.760419022892187,5.23631663629464,6.478519657951593,12.628064684763237,10.257862767188191,1.6543492414599967,5.449463303660757,3.8363629563153934,19.212974250004223,41.44605597359783,25.297157815553476,0.6078324925561669,6.399042838187579,11.692855637172297,26.991995122390588,22.2553488086172,8.925439758126538,5.961909732444296,3.508252078028567,3.6111945707522435,10.637383687533573,17.35869506176749,8.387990879553229,740009.3263724515
2.732694753115074,3.5814120157012868,3.1859161387974253,6.403472768457941,6.311134702235752,4.155365329347278,4.624427105705037,8.060605559686069,3.1678444002162474,1.464156730967647,4.464422922442665,6.395098326192765,4.907595093616633,5.448342449308278,7.9549190320542404,12.861375019659526,42.82771198583593,23.272525027974908,5.8808695197186,5.877837657442151,5.103488542437278,24.585781858769806,16.849101902483486,0.7612509251786407,3.074740699031921,3.554621504557392,5.6551844978853225,2.9249436125261936,13.214636075363991,4.622759333351859,740010.326278717
3.7277187504522304,4.485207668410548,4.499369576091314,6.588766771147052,4.797547715404258,1.769833819558726,5.244486620014508,8.388279153915105,3.8008088896618144,4.452507532142235,4.764610188593152,9.704008273799476,8.032360040147783,5.674665332094526,3.3447734945209904,16.885131484290685,41.93957001705375,19.16227145073257,5.020356647470099,4.624293515329971,5.668628980191633,23.518177717072874,14.944644977964554,3.731173732028039,5.239177731074775,11.179215258150403,10.533028182237615,10.938336602551866,15.280282152335213,6.775576976862137,740011.3275502084
3.941850506919839,2.282358372907835,5.487962281406588,6.915566129602439,3.4861903028647525,1.8748245265342758,6.084954681495891,9.863284401023945,6.785744989660346,7.919375384422827,13.518932097371597,11.951084391768173,0.5963080097351162,3.618795286856822,5.334436936645267,17.692996197776132,43.36138866527573,26.965694685642546,4.769238207567191,6.229886807530956,8.072583727936042,25.927754466487865,27.41846384596127,18.096859659658634,12.98287516245866,2.749016087443078,4.545338531885168,5.57723800793019,14.503455471712858,8.59688621484287,740012.3276687625
