[2]delta_1,[2]delta_2,[2]delta_3,[2]delta_4,[2]theta_1,[2]theta_2,[2]theta_3,[2]theta_4,[2]alpha_1,[2]alpha_2,[2]alpha_3,[2]alpha_4,[2]beta_1,[2]beta_2,[2]beta_3,[2]beta_4,[2]beta_5,[2]beta_6,[2]beta_7,[2]beta_8,[2]beta_9,[2]beta_10,[2]beta_11,[2]beta_12,[2]beta_13,[2]beta_14,[2]beta_15,[2]beta_16,[2]beta_17,[2]beta_18,[2]timestamp
1.1149646174911352,2.985870555363017,5.064501015672935,6.93028143467842,8.208444709262908,7.049007286374929,2.118322661586439,1.3096419674393993,2.1010895376644987,5.791439868050856,3.66292790958332,8.948005396215297,3.0794537070984873,5.856811826845522,3.416481574044957,25.63293521295642,59.22005473381282,28.876363261033795,3.098274651680707,5.095607793741404,8.227190030629792,22.689431504753582,17.666784299045297,3.570492306792212,7.2121628875462465,8.495370948234234,7.330615038465619,8.551554317861418,14.654949520473048,11.363416922195524,740219.6523338909
3.3519888079025346,5.742037246341205,8.538141064534832,6.283620241155554,1.7295879828778788,3.004586643827043,3.3619584578981545,4.264188344300478,0.5838633198295746,5.228829829276896,9.23100312933927,6.562550621003269,2.257799364359741,3.9407701188118196,1.1059818585716874,26.00348190597223,62.81945700040538,30.772795555494262,1.983945986701888,7.909198225173998,5.084986487557528,16.112923704023043,13.223034566904044,1.9445009446137642,1.6027485597752138,1.2000973823702656,2.2185704729574844,11.97507890506292,25.39634003129838,7.7291329587243425,740220.6494098189
1.0725812847928107,2.7360991417794662,4.6599022204903875,6.0532036403153455,7.786922256388651,4.996867486287036,2.2205617944742424,4.871854962075795,3.2323824884851846,1.7590072080789143,5.505375539450512,6.968118039644219,4.301348034033318,3.2334814886289895,4.382336731153612,24.880031391948414,60.46805009798384,28.080980173091564,7.72943304621344,5.282430429790957,4.758746417024842,21.282206686868047,23.372667923392545,10.02288457205796,3.034878095966842,4.2794657451583635,4.487345530072574,9.267294721787774,23.399279617838577,8.73105455409847,740221.6524668662
1.4322431271194824,3.396315718955006,4.496176402639603,5.5594561451037645,5.3555925383118606,2.4029164370929905,3.782920933780928,5.891253604375749,4.942074139961259,4.3560086861009895,9.91682413884138,12.477271438337375,7.020337174498442,3.9407521028711607,6.590713830344872,31.266637647736083,64.9455163894953,26.625499055542768,3.982760848215119,2.391045084137311,7.862131444391014,23.417927287008418,16.906408560722312,5.052364524223718,3.484414102330828,1.7221633027546568,3.224354312347235,11.714088305781086,21.643972805077635,2.8169109087549042,740222.6504475928
1.000839816024821,2.490156052261706,3.3977765601910277,1.08483833300094,1.4633731953147193,4.626380389262325,6.692119847768754,7.972752805157834,2.574723536034206,5.017260463336319,10.66905119005819,12.298773271857886,6.909631130417523,3.9660122390006762,2.072875676297013,20.85189025238757,59.65565137960506,25.441089330443585,2.25626441570587,1.7129492213807924,5.777959719227354,21.764728203637738,14.442135692756255,1.9552804595139193,5.958644392124073,3.255947253858999,1.5491172613779882,14.034668478515071,27.528030909127942,12.290042672497664,740223.6680690718
1.733855290659001,2.64538602949394,2.598172188556872,2.5543940599733927,3.3711804184460124,4.329319006352859,3.212135486411473,4.105203575736811,6.0918672634372975,2.2100864821264907,7.393017958493048,8.67446774238986,10.386974718606812,4.956946856240222,4.82817214224666,28.23443085806007,60.736192885107606,23.000506651498423,6.6452677899367885,2.0507898522586654,4.871804695686632,21.46883046417104,20.26350666469502,9.46200499927247,6.844511066762127,2.7582820705317923,8.33690347642793,11.30154034099356,23.55492175645003,12.447790755694824,740224.6525287903
0.9436367520695144,1.849982152821041,3.6146054444334967,4.040979881533056,4.2324348537931815,3.110833592848941,8.231004477568936,6.26709435361054,3.471032357624667,4.89601530838589,9.44279050905094,9.280292534824001,4.686286325148107,4.003129465901474,5.551196808760341,30.147380270909547,66.3559637482995,26.691151094340178,3.1029912152029913,4.858069411326068,4.851346570558259,23.679958623199184,18.252720391874234,7.237285625878182,8.744414645742951,8.811727426104795,6.004301969110403,10.23302793277301,26.03624840816672,9.042313190265306,740225.6491009919
0.1609340550995464,2.057300672129341,5.009389102591604,3.2097788901119273,8.073811646363147,4.625505624200463,3.1481065851703076,5.157163698474149,6.767534086434276,0.7111660807825297,7.323914910087174,11.142147239897133,9.52855687419367,2.16708950278039,5.151124378113871,25.90134522011644,57.99974035004804,21.574610486464927,6.952614284721746,3.928691099305839,1.6495407061405991,17.234096937446676,16.139376446761673,3.0719307279932218,7.7443749028944895,6.146362784402188,2.0388561261289935,10.920005732372802,21.96698829403411,8.912405078178073,740226.6613351597
