[2]delta_1,[2]delta_2,[2]delta_3,[2]delta_4,[2]theta_1,[2]theta_2,[2]theta_3,[2]theta_4,[2]alpha_1,[2]alpha_2,[2]alpha_3,[2]alpha_4,[2]beta_1,[2]beta_2,[2]beta_3,[2]beta_4,[2]beta_5,[2]beta_6,[2]beta_7,[2]beta_8,[2]beta_9,[2]beta_10,[2]beta_11,[2]beta_12,[2]beta_13,[2]beta_14,[2]beta_15,[2]beta_16,[2]beta_17,[2]beta_18,[2]timestamp
3.416232544346787,8.760293024417825,8.576328314923716,9.288381116644553,6.956036156414157,6.250634613494527,2.116717003192128,5.832580818571644,8.858736757014912,2.388372443834278,7.439215922175764,12.179809512836073,16.57308056371613,24.23439017561588,17.26475131649197,13.08966564635283,38.06994115896729,21.659745332361485,5.722423211524602,5.040159888893527,1.6683111939560062,8.888463269953682,6.712262238607309,7.88973355624171,8.192820255644033,7.643655364666559,10.743983347312064,8.511290715082552,7.456104854320064,12.062251883916598,740626.602085507
0.44916016927658786,1.433905791423115,1.549143917840779,2.5183684929061996,2.6720921894305256,2.7247800951544203,8.408646142246877,8.761539560551807,3.0959473055417153,3.415434630410515,8.359144952590283,12.344403837402247,7.414379071934417,3.3530802997258493,3.3673207449063756,17.26137227158192,27.081901869068165,6.72109440111941,6.996455141514992,4.306493874402984,4.511373610168512,32.120658990519736,32.383025792394136,14.935132617722468,13.510680759884902,4.444009098018584,10.896818318618482,2.2473218600671125,6.365120933625969,0.7361461983763594,740571.7337522288
0.19863410258381942,0.18094168753502538,1.80609517635255,2.845651327058552,5.719991757712058,6.360840191031188,7.06341999377107,4.583152377546163,6.150682927344362,6.515778380147787,6.133213762791151,8.729744319893134,3.061662034454806,2.636940394385249,6.556019635740379,6.966863342030629,25.70648829320822,7.519990239484453,4.973186626166716,3.6027816926499923,10.36390129575934,30.847507747876246,20.282670197636833,4.3832322704789854,12.115094330517241,8.125680725659738,4.368565974624582,5.893717692743703,6.407184207531121,3.430883851997765,740572.7180572678
0.05500240684118729,1.9740006017602751,2.514168415304218,5.636953191704048,10.509033041604916,9.794785615537384,9.412644982150434,11.322155852733545,9.107972196108399,10.227193298344913,7.471209191384844,7.195840237029952,7.913465551990639,7.832844355657008,5.353809996874997,12.651235864372019,29.07354693070466,10.960067354964682,5.357506611616136,7.7622461918660255,6.233727259651446,26.920867561828814,18.139148761006755,2.9728135414175547,9.240838463369178,8.3033710419806,3.442003412090485,3.8949403314525775,8.884608974986424,4.668134515268125,740573.71767241
2.500063905496831,2.9218017651763697,3.4475712377794907,2.4462736438736568,9.019240827072721,3.278239803882445,8.076013310950625,8.226852141874359,5.1294843530064975,6.652529660401944,10.198105737612583,12.44767283759451,10.61783247878677,9.547691015438621,4.796866196614154,11.522870921830968,23.04241155200427,10.425584661538043,4.396267199418901,2.6304812019610075,10.243967610962354,34.09969375922381,27.16875670626089,9.147007590065673,9.548183477944296,3.2810621125003117,6.442421424956188,5.962146349836226,9.292482923629793,4.336941628612556,740574.7141507317
0.3186696240720617,0.4728072713700105,4.243995831148526,6.717780511151736,5.7115703950621,3.9612481428460065,11.488911746513523,8.103567747303646,9.519701163621447,12.392905790755206,12.088168298095669,13.582157257641272,8.198303880647376,4.519289766916883,2.5323314227708895,9.664929740321213,25.188360230712377,12.887013560667443,5.859537393952355,7.214679382787931,3.1405950612078386,28.32934260993943,22.511572922378605,5.078928474242019,9.84950335980629,6.375328467754609,4.280611142310272,6.809801312532193,9.488191635369967,3.7305894498151506,740575.7163778968
1.2231358853801324,3.8882477776646245,6.235422042568067,11.430826240873861,8.181750536279804,4.54988697205624,5.451372721675145,9.97608537177426,9.271131882303854,9.971304988887,7.257021564164191,11.772755049747575,8.721255149339349,4.419907512169592,5.986175449820087,3.126106917880106,25.18286269503162,15.02249447478447,9.399071606335491,3.8212497399724965,6.135402239251483,33.343693174161714,25.91277900689966,1.7056774532190404,5.455030889231477,5.178289861229263,5.263360079910646,6.9354052428546815,12.849778115283451,7.9369312934551,740576.7173627556
1.5501343382237291,5.017500503086025,9.623303032194924,11.847103483575685,9.045061597838776,11.230927858122946,17.4840755921695,17.52762820012011,11.353444093646873,5.376113182980897,9.10432649238947,8.302017983901182,3.4280035166334013,7.106693793709706,12.030785802477082,22.46801038018127,26.928150502055328,11.525136134095305,4.607217023044481,8.03350705222119,5.027691806130952,23.052803284885588,15.807780788597091,9.463324659774871,13.766397717592364,7.4740643170383665,2.684008726213253,5.687308485397477,4.351489840500696,4.096597667134654,740577.7149799874
16.45525408788326,19.093202974338674,3.5244462537623154,10.010412205458325,6.151508355443564,7.5294918638761095,7.999237209428765,6.590670135366905,7.494116274843193,10.571023474120311,8.347363757982235,12.133632115821234,8.281723536961751,1.1525290540921989,5.315255876395123,6.461379986898036,22.32774026965622,22.042721892067902,9.431021269209168,12.216254727404934,5.855596600975393,20.47781018179889,13.002087159128541,11.242543499178558,15.960979562458336,3.1089636010780617,6.46526441876702,9.327317512890332,12.457399093216154,5.2333166792348536,740584.7874254959
2.3189807618136205,2.5844615808826608,0.637873881151974,7.746706094000729,8.362349408109159,3.421377410645184,8.919720714323956,12.429737997772039,8.01495307199358,7.243559291749169,9.382911152316314,11.604588385067018,6.37489595210808,6.984363168002514,0.23408559533214113,13.199916398189707,29.28579439085591,20.371080191134965,8.10661968705485,0.865141430288461,4.9796294623798705,26.93497538593326,25.956214599090202,8.368862708949676,3.539019338026247,1.5230548129457768,4.164095253122504,8.881222917889932,5.567756287354994,1.9140423056094613,740579.7178768411
