[2]delta_1,[2]delta_2,[2]delta_3,[2]delta_4,[2]theta_1,[2]theta_2,[2]theta_3,[2]theta_4,[2]alpha_1,[2]alpha_2,[2]alpha_3,[2]alpha_4,[2]beta_1,[2]beta_2,[2]beta_3,[2]beta_4,[2]beta_5,[2]beta_6,[2]beta_7,[2]beta_8,[2]beta_9,[2]beta_10,[2]beta_11,[2]beta_12,[2]beta_13,[2]beta_14,[2]beta_15,[2]beta_16,[2]beta_17,[2]beta_18,[2]timestamp
0.7239607437926461,1.093556993263236,3.0274538116516627,5.997867110985292,7.04181384700969,5.574891194417045,5.936063257107186,1.757990905651427,4.837289418968749,4.782851762239747,5.306792926623892,7.468811348410724,5.5827341124519805,5.761933038469443,2.9263103795499403,22.191003374429545,43.60002645389311,26.782349988658936,8.319306134331054,4.862122007589871,4.559402020175556,20.504093052096607,21.133257017021904,9.290589231993563,1.8643789073471215,2.6601433220710375,5.731062048530069,3.3824902183634062,8.881122032524614,6.435059205645824,739975.3290429972
0.813986831528736,3.9259207406941026,1.4976278766350806,2.632346903406065,3.881471477698402,3.8974436318003716,5.7931829076864565,12.277727294578158,4.143329960501243,3.4656778837233815,4.319086220936098,9.27871172670635,7.6872443333526554,4.500941350402113,6.640353022405355,27.29610869670702,50.60935354013224,25.374825889076785,6.392497371254851,3.3729608125495405,6.6182217113321,21.93269187446624,14.292769866542447,6.544015493888742,4.637671310854072,4.762058092158659,2.4367306374706486,6.596298463820654,6.78622620721044,2.8073178715383307,739976.3358688583
3.1806264826871393,1.9430874547888628,4.3321993457297685,5.261116201376499,2.564962629096822,3.4836604373895472,9.45062408055558,10.90159367074934,1.8154051077312006,7.463347284612561,12.261508895634439,9.758787311280768,2.321181306835206,6.698465610050012,6.689251197247756,12.492092281958735,41.445172062433194,22.62726179459697,3.770535380116731,6.600431880813266,6.560740466170582,23.999788307158965,14.131490125704692,1.731423451699095,7.660597374035585,9.80005575597214,4.566497685536921,2.674778507796651,6.434546930878517,2.9506406006412838,739977.3294896947
1.8182572063252,1.598501853470174,2.7063500674515706,3.3788243115659866,5.391342736407551,3.7929927989650314,6.039118360570261,10.089499602131283,0.20100660366322878,9.85796974962575,8.14434589625721,7.814516524723056,6.620621052357443,9.677908005412693,2.0739023100378753,23.999826755000257,49.852514231907534,22.22710756024273,3.2491900315581552,3.8323409097637318,1.7619362873650564,20.293658161795154,18.126675956983057,2.3318155433155727,5.897139850381429,2.032139124266099,1.426946178959104,6.996793751323488,6.228254267852626,5.408260845919647,739978.3308176214
1.1790658007490182,0.12731710950266098,3.3259903257813592,5.5856598052337985,8.332116500865155,4.699258116923048,7.853981906310972,10.312468686486412,7.529719107257388,8.888982304356475,1.7466188073498257,5.669536153020721,0.9650366671019407,5.234085987243048,4.862308060126572,20.289332920756983,56.01167746758175,32.620690047875016,8.40261516787778,3.3637646930446627,1.773648680702614,20.397938049858485,16.319517349659144,7.580819704917949,9.92824734007961,7.000006231074214,5.502576502967308,0.5993381031716263,7.801476273913722,8.388571845746542,739979.3294622637
1.469733105615576,3.5876066049475663,0.9388806372296477,1.5207414007069475,5.258766536493891,3.3298468828969328,8.49913352403552,9.166862318655532,2.721406275001096,5.949103784070888,11.080031539990017,11.036774069997037,4.31124393545474,5.495991679920962,8.038047093819014,23.11632442720785,56.7660696662623,30.346297014297402,2.8001906986382865,4.526643084595441,5.52016178872156,25.583092176228273,21.61671022944453,4.893531512549167,1.4067283608555168,5.508032547432065,6.809894010060736,5.015969220271272,6.4266472539044734,2.8561396286345504,739980.3284409253
1.25802983297223,0.8946222179394321,0.9254096978387987,1.8600416072043084,5.582883936384009,5.57754386112322,2.859820862613667,5.267896906034717,4.022758750116744,4.774461268917141,8.153536649883582,11.425852997021583,6.259287907555132,7.900057928554606,3.7177399571656222,24.51655972870036,59.39578283347774,28.708183738594183,4.029837262380536,3.0862767282427734,6.721946666219818,21.03358471641009,17.366160474711144,2.5550626790567406,3.846626642517867,0.6475094384919838,1.2068092584150867,6.381908957485036,12.52405423280393,6.334587751565018,739981.3277247157
1.064103162416659,2.1989000602331594,0.8010912812120802,3.409634171689473,4.635799056671242,2.608924568655892,4.689080369880874,6.199724431469599,2.330355378298318,6.106872480761677,6.855715786816935,3.8349971102897573,2.0693986612632176,7.105525623005083,7.007034762349098,21.789697615287167,57.45260403307014,24.138552611267016,5.709688860558548,6.444555470702828,1.098734109330826,23.842021204466807,18.3724138130303,0.5774687039225977,6.679997042451778,7.077680724643095,5.270817715441374,9.207060020841938,20.792477109755588,11.543151002580085,739982.3274832392
