device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
2111832439,741195855677,"(0.49202755093574524, 0.36484983563423157)","(-1.5041624307632446, 78.4974594116211, 17.928926467895508)",1,3.9597320556640625,1,"(-54.523590087890625, -48.195960998535156, 643.5045166015625)","(0.6143168807029724, 0.6036211848258972, 0.443044513463974)",1,"(0.4085747003555298, 0.421281099319458)","(-17.249082565307617, 72.24449157714844, 15.653082847595215)",1,3.786651611328125,1,"(6.975407600402832, -48.24174499511719, 646.6395874023438)","(0.4853775203227997, 0.602837324142456, 0.44498410820961)",1,test
2112349130,741196372277,"(0.5004626512527466, 0.37008264660835266)","(0.08727720379829407, 77.91764068603516, 17.717880249023438)",1,3.8205413818359375,1,"(-54.43482971191406, -47.880455017089844, 643.6354370117188)","(0.6141065955162048, 0.6029433012008667, 0.44327232241630554)",1,"(0.42087459564208984, 0.37886208295822144)","(-14.92848014831543, 76.94479370117188, 17.36385726928711)",1,3.6819000244140625,1,"(7.071896553039551, -47.959835052490234, 646.1406860351562)","(0.4851647615432739, 0.6023088097572327, 0.443868488073349)",1,test
2112865819,741196888870,"(0.49162721633911133, 0.3601333200931549)","(-1.5796884298324585, 79.02008819580078, 18.119152069091797)",1,3.87799072265625,1,"(-54.09169006347656, -47.710723876953125, 643.427734375)","(0.6134307384490967, 0.6026096343994141, 0.44274014234542847)",1,"(0.41216185688972473, 0.3864977955818176)","(-16.572296142578125, 76.09872436523438, 17.05586814880371)",1,3.7116241455078125,1,"(7.389836311340332, -47.872779846191406, 646.4229736328125)","(0.4845082461833954, 0.6020914316177368, 0.444477915763855)",1,test
2113365844,741197388908,"(0.4849797189235687, 0.3672662079334259)","(-2.8338584899902344, 78.22969818115234, 17.831497192382812)",1,3.903961181640625,1,"(-53.67954635620117, -47.554344177246094, 643.613525390625)","(0.6125322580337524, 0.6022562384605408, 0.443048894405365)",1,"(0.4169301390647888, 0.403487890958786)","(-15.672673225402832, 74.21611785888672, 16.370635986328125)",1,3.773712158203125,1,"(7.8310675621032715, -47.83209991455078, 646.658203125)","(0.48359328508377075, 0.6019753813743591, 0.44499459862709045)",1,test
2113882533,741197905608,"(0.49614813923835754, 0.3798125684261322)","(-0.7267324328422546, 76.8394775390625, 17.325517654418945)",1,3.97332763671875,1,"(-53.843360900878906, -47.65521240234375, 643.3424682617188)","(0.612928032875061, 0.602501392364502, 0.44250422716140747)",1,"(0.43384337425231934, 0.36057931184768677)","(-12.481677055358887, 78.97064971923828, 18.101205825805664)",1,3.803863525390625,1,"(7.649534225463867, -47.89196014404297, 646.210693359375)","(0.483959436416626, 0.6021544337272644, 0.4440261125564575)",1,test
2114399223,741198422311,"(0.48749613761901855, 0.36569878458976746)","(-2.35908579826355, 78.40338897705078, 17.894678115844727)",1,3.91143798828125,1,"(-54.477813720703125, -47.980133056640625, 643.2922973632812)","(0.6142646074295044, 0.6031939387321472, 0.442550390958786)",1,"(0.4034078121185303, 0.3657001256942749)","(-18.22391128540039, 78.40322875976562, 17.894662857055664)",1,3.721405029296875,1,"(6.976363182067871, -48.032161712646484, 646.2464599609375)","(0.4853667616844177, 0.6024476885795593, 0.44410479068756104)",1,test
2114915913,741198938948,"(0.47685277462005615, 0.37084677815437317)","(-4.367157936096191, 77.83294677734375, 17.68709945678711)",1,3.8392181396484375,1,"(-54.32594299316406, -47.765323638916016, 643.24853515625)","(0.6139565110206604, 0.6027476191520691, 0.4424015283584595)",1,"(0.40833359956741333, 0.39128637313842773)","(-17.29456901550293, 75.568115234375, 16.862741470336914)",1,3.7469940185546875,1,"(7.140758037567139, -47.87132263183594, 646.3115844726562)","(0.4850258529186249, 0.602103590965271, 0.4442300498485565)",1,test
2115432597,741199455658,"(0.47993651032447815, 0.36871692538261414)","(-3.7853569984436035, 78.06895446777344, 17.77298355102539)",1,3.800445556640625,1,"(-53.92560577392578, -47.68180847167969, 642.9692993164062)","(0.6131740212440491, 0.6026026010513306, 0.44171515107154846)",1,"(0.40636590123176575, 0.37082722783088684)","(-17.66581153869629, 77.83512878417969, 17.687862396240234)",1,3.6845703125,1,"(7.562163829803467, -47.85558319091797, 646.22314453125)","(0.4841426610946655, 0.6020779013633728, 0.44404640793800354)",1,test
2115932618,741199955758,"(0.5157047510147095, 0.5314743518829346)","(2.962996006011963, 60.034366607666016, 11.20893669128418)",1,3.733734130859375,1,"(-53.624935150146484, -47.913421630859375, 642.8115844726562)","(0.61257404088974, 0.6031050682067871, 0.44134894013404846)",1,"(0.42620959877967834, 0.5246871113777161)","(-13.921927452087402, 60.78644943237305, 11.482645988464355)",1,3.6898651123046875,1,"(7.822285175323486, -48.11554718017578, 645.8499145507812)","(0.4835863709449768, 0.6026617884635925, 0.4432753920555115)",1,test
2115932618,741199955758,"(0.5157047510147095, 0.5314743518829346)","(2.962996006011963, 60.034366607666016, 11.20893669128418)",1,3.733734130859375,1,"(-53.624935150146484, -47.913421630859375, 642.8115844726562)","(0.61257404088974, 0.6031050682067871, 0.44134894013404846)",1,"(0.42620959877967834, 0.5246871113777161)","(-13.921927452087402, 60.78644943237305, 11.482645988464355)",1,3.6898651123046875,1,"(7.822285175323486, -48.11554718017578, 645.8499145507812)","(0.4835863709449768, 0.6026617884635925, 0.4432753920555115)",1,test
2116966000,741200989218,"(0.5938838720321655, 0.5903120636940002)","(17.712923049926758, 53.514774322509766, 8.83597469329834)",1,3.62591552734375,1,"(-53.47969436645508, -47.92611312866211, 642.824951171875)","(0.6122669577598572, 0.6031288504600525, 0.441353440284729)",1,"(0.4906264543533325, 0.5915033221244812)","(-1.7684961557388306, 53.38277816772461, 8.78795051574707)",1,3.440032958984375,1,"(7.938956260681152, -48.18610382080078, 645.80322265625)","(0.4833405315876007, 0.6028134822845459, 0.443185955286026)",1,test
2117482690,741201505855,"(0.5832306742668152, 0.3390457034111023)","(15.703004837036133, 81.35672760009766, 18.96961784362793)",1,3.59051513671875,1,"(-53.62318801879883, -47.7552490234375, 643.1943359375)","(0.6124957799911499, 0.6027271747589111, 0.4421568512916565)",1,"(0.49713629484176636, 0.32244378328323364)","(-0.5402925610542297, 83.19633483886719, 19.63915252685547)",1,3.312957763671875,1,"(7.860932350158691, -48.00422668457031, 646.5196533203125)","(0.48352575302124023, 0.6023499369621277, 0.4447159469127655)",1,test
