[2]delta_1,[2]delta_2,[2]delta_3,[2]delta_4,[2]theta_1,[2]theta_2,[2]theta_3,[2]theta_4,[2]alpha_1,[2]alpha_2,[2]alpha_3,[2]alpha_4,[2]beta_1,[2]beta_2,[2]beta_3,[2]beta_4,[2]beta_5,[2]beta_6,[2]beta_7,[2]beta_8,[2]beta_9,[2]beta_10,[2]beta_11,[2]beta_12,[2]beta_13,[2]beta_14,[2]beta_15,[2]beta_16,[2]beta_17,[2]beta_18,[2]timestamp
1.7965220039231002,1.2155210058214778,4.32846117553333,3.668475580254995,4.210594438670034,3.207004413037484,2.1310135253577287,4.108978868384095,3.0326596982454768,4.184091418512602,9.741991811566637,13.794455889852266,8.939188614213709,4.55215051923302,6.348219128041599,11.577024424721296,41.86012690333199,22.934930932198178,5.437394525721424,3.3187623862896185,5.331650327072192,23.969993394232745,14.113028961071848,3.1252554185093517,4.049674451654261,6.7978833399489,6.014680444244853,6.625386054630417,13.38824285069918,5.093571758992654,740013.3278846493
2.0939022118549784,3.0501259937291736,5.747973078772672,7.7970083573036915,5.888294113315017,2.645904612522596,4.112884704034742,3.0791090563693078,1.6962286752378024,3.6843242145719395,3.0921547049036024,8.577552690812968,3.649083103474628,3.6081546340222426,5.75533374567354,18.73970364542701,41.3355090618862,25.93266927961984,7.5018182491469085,6.832836674071789,8.20770335806241,22.36546515632672,20.331909923760477,7.1403022986663816,5.4560677107200615,8.443300148990131,7.345694147526371,3.39936743875543,12.493476018038917,3.957235030917901,740014.3259480931
3.299299875782659,3.678279427459368,3.467998643999814,4.444034419790065,1.778648835347008,0.846755006510532,3.942362188453759,3.172216472302885,4.546042625211066,3.125279051549448,15.022012166747688,14.770041635585066,4.925892958953035,6.625236344597036,5.793705176559983,15.232933243211274,44.893143143324245,28.86942458659802,6.935043139786192,1.1355831643379426,1.195674917841939,15.91961941317542,13.84821808726315,3.458110230592944,5.4643015129629395,3.2471923106438396,2.545090820061874,6.344903010924998,8.478120007539461,4.136392405945225,740015.3279997954
1.3186854866214075,1.0388026577142964,4.340594784300957,7.041527709333808,7.845298201744994,4.6108082600878335,3.794637522867023,2.568000738755617,3.7513760254460786,8.204746670141603,13.451792530423658,12.709653571978976,6.125404465694798,2.0616417551388677,3.0324587443880615,18.443074720504303,44.109150369226555,22.493685588942267,6.616138367765109,7.312874862007515,4.275728453003359,19.86874853569581,14.929049611019696,5.619689864092593,6.1487822489271275,4.643136905013083,1.9671363570576137,6.889105507360301,14.123673670124838,8.471354381542993,740016.3304509751
2.537009773839555,3.887152449928368,5.306448221412808,4.669240714222521,4.896513010445563,4.796236411309425,3.6761393946386645,2.0476635296825614,3.2149365033251978,2.2029865283441676,8.163014311602765,16.957201848556462,11.233154114477612,8.801681593411743,9.646359524113558,17.089831345159485,37.99202546462401,20.413692151793,3.640720636112283,3.259993460289829,3.055578167161496,17.60945422311561,17.27790518648089,3.2389067734343366,5.864714460462618,3.697335815377011,1.6621765260885,3.865622478784806,10.444943739061397,3.1569600083083413,740017.329738115
2.4408469033400353,3.227734183574241,3.8528908613261152,1.994258164746522,1.6978704550644879,4.134702139543445,4.70908987776295,2.962204881945663,3.5463934231447336,0.4783474132978566,10.049812108340161,8.661431184468288,1.5013812538113789,4.882527629729865,2.945006138974845,18.977975271733722,42.26152391229878,21.708559508928904,10.036523644998624,3.694296570552615,0.6243593484781144,17.873755294656615,15.762220724014085,5.877215851044038,10.014937304858355,8.009214136811352,7.172400443914823,1.2363025143919255,6.99716359487942,4.643416676577783,740018.3284751946
0.7954925276074492,2.0129347529546378,2.7099950734262443,0.9063012106214041,3.494004656417253,3.255972838427594,4.732023361354171,4.890195921066548,2.8675084169643505,4.434700761791668,12.808849201155159,11.518030412503869,1.8466789859243506,4.698357989770389,5.372899283191959,10.699857053660516,37.67121200904988,22.84500129682267,5.738514880572404,5.756569705507916,7.034679057470995,23.144093287178467,18.99904240668417,5.300127372470106,3.6177364963912444,3.5341689159260956,2.4621661076005665,6.390346913506309,10.529862964506485,4.035428126193004,740019.3276127267
0.499753513266465,0.5067570176532081,0.9217776227854526,0.6495388326015399,2.329750921369871,3.0369451265065948,1.144567665592762,1.3540010716529676,1.2454243276348824,3.2940585176913175,6.921202333675853,12.757413998958462,5.823323539926689,5.8144488076429255,2.274792279931325,17.833432876428027,39.11399289375996,15.076706721176974,1.4600574378031208,3.048797669290793,8.571192446149642,26.675134723918664,21.282029238512703,2.785167075426997,6.942914998714931,4.649547264663807,3.3408746812140677,4.970414620033575,11.95931874812213,5.733802789818007,740020.327219408
